type,manufacturer,name,chip_id,size,flash_page,chip_class,algo,delay,eeprom_extend,eeprom,unk2,eeprom_page,voltage
SPI_FLASH,AMIC,A25L010,3616785,131072,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L016,3616789,2097152,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L020,3616786,262144,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L032,3616790,4194304,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L040,3616787,524288,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L05PT,3612704,65536,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L05PU,3612688,65536,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L080,3616788,1048576,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L10PT,3612705,131072,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L10PU,3612689,131072,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L16PU,3612693,2097152,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L20PT,3612706,262144,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L40PT,3612707,524288,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L512,3616784,65536,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L80P,3612692,1048576,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L80PT,3612708,1048576,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25L80PU,3612692,1048576,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25LQ16,3620885,2097152,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25LQ32,3620886,4194304,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25LQ32A,3620886,4194304,256,0,0,1000,0,1,0,1,0
SPI_FLASH,AMIC,A25LQ64,3620887,8388608,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ACE,ACE25A128G_1.8V,14704664,16777216,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ACE,ACE25C100,10563857,131072,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ACE,ACE25C200,10563858,262144,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ACE,ACE25C320G,14696470,4194304,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ACE,ACE25C512,10563856,65536,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF021,2048768,262144,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF041A,2049025,524288,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF041x,2049024,524288,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF081A,2049281,1048576,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF081x,2049280,1048576,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF161,2049536,2097152,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF161A,2049538,2097152,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF321,2049792,4194304,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF321A,2049793,4194304,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25DF641,2050048,8388608,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ADESTO,AT25DN256,2048000,32768,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25F1024,2057473,131072,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25F1024x,8032,131072,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25F2048,2057474,262144,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25F2048x,8035,262144,256,0,0,1000,0,1,0,1,0
SPI_FLASH,ATMEL,AT25F4096,2057475,524288,256,0,0,1000,0,1,0,1,0
